task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
Rover_130,-3.494184408764617,-5.6175708054940445,-4.695958989973224,,,
Rover_85,-6.626194990650992,-6.598390368700645,-5.741839308886616,,,
Rover_54,-6.758416786850621,-4.800736560313561,-5.703973917739353,,,
Rover_205,-3.014460995059519,-7.57780159665805,-3.205517469518069,,,
Rover_150,-15.430085335705291,-9.810850233839048,-11.03976062222664,,,
Rover_97,-4.066935772236417,-3.787207032517513,-5.665872102934876,,,
Rover_26,-8.214250244315572,-9.180720286616324,-6.783330554509165,,,
Rover_215,-13.189361479445324,-20.78105091375975,-15.24134146193228,,,
Rover_63,-17.33208600363963,-17.32670046394563,-18.64912457847128,,,
Rover_294,-6.774167379036686,-5.767175659276546,-3.902363792028369,,,
Rover_56,-3.912794066348784,-3.229652753196381,-2.813101799077222,,,
Rover_13,-10.406507249823353,-10.751331567773503,-14.419928223033615,,,
Rover_135,-4.432577145241797,-2.260368226606782,-4.755556562937991,,,
Rover_82,-19.16131666814924,-8.893706718237084,-10.290383102988798,,,
Rover_165,-12.918013678501564,-10.254981372394518,-11.044135282105994,,,
Rover_252,-15.521933998625588,-14.720820814859952,-12.829017796195496,,,
Rover_43,-16.445332413889826,-14.28532083476154,-13.988215021135105,,,
HPOB_5906_9914,-0.945765495300293,,-0.9461042881011964,-0.9461042881011964,-0.9445973634719848,
HPOB_5906_9952,-0.8327623009681702,,-0.7493739724159241,-0.7079228758811951,-0.7325665950775146,
HPOB_5906_3492,-0.6077138185501099,,-0.4974386096000671,-0.5010125637054443,-0.4998856782913208,
HPOB_5906_3493,-0.6548030972480774,,-0.6436565518379211,-0.6510632038116455,-0.657464861869812,
HPOB_5906_3954,-0.8409205675125122,,-0.7923205494880676,-0.6738144755363464,-0.6690613627433777,
HPOB_5906_7295,-0.8285472393035889,,-0.8196133375167847,-0.7906233072280884,-0.8125625848770142,
HPOB_5906_49,-0.657468855381012,,-0.3587718904018402,-0.3447993397712707,-0.3476788401603699,
HPOB_5906_14965,-0.8840100765228271,,-0.891107439994812,,,
HPOB_5906_14951,-0.5508705377578735,,-0.5749549865722656,,,
HPOB_5906_31,-0.7048283219337463,,-0.7013419270515442,,,
HPOB_5906_125923,-0.555491030216217,,-0.8640749454498291,,,
HPOB_5906_3,-0.6273963153362274,,-0.9074627757072448,,,
HPOB_5906_3902,-0.8924500346183777,,-0.8823829293251038,,,
HPOB_5906_9957,-0.7318195700645447,,-0.7755090594291687,,,
HPOB_5906_9967,-0.6978946924209595,,-0.7076568603515625,,,
HPOB_5906_9983,-0.7770671248435974,,-0.5508737564086914,,,
HPOB_5906_3917,-0.8477660417556763,,-0.8461569547653198,,,
HPOB_5906_9978,-0.9373266696929932,,-0.9414385557174684,,,
HPOB_5906_3891,-0.9431302696466446,,-0.8317053318023682,,,
HPOB_5906_6566,-0.8860981464385986,,-0.9390419721603394,,,
HPOB_5906_9889,-0.9460887908935548,,-0.9460887908935548,,,
HPOB_5906_3494,-0.5185144543647766,,-0.7510926127433777,,,
HPOB_5906_37,-0.7234232425689697,,-0.6613258719444275,,,
HPOB_5906_3896,-0.8066316246986389,,-0.8289262652397156,,,
HPOB_5889_6566,-0.975135624408722,,-0.970288336277008,,,
HPOB_5889_14971,-0.8326201438903809,,-0.8320860862731934,,,
HPOB_5889_9983,-0.9078727960586548,,-0.9038273096084596,,,
HPOB_5889_3954,-0.8746616244316101,,-0.8777326345443726,,,
HPOB_5889_9977,-0.9646930694580078,,-0.961430549621582,,,
HPOB_5889_7295,-0.8247623443603516,,-0.8338499665260315,,,
HPOB_5889_3889,-0.9937461614608764,,-0.9927577972412108,,,
HPOB_5889_9970,-0.5652277916669846,,-0.542634129524231,,,
HPOB_5889_3891,-0.9296884536743164,,-0.8921324014663696,,,
HPOB_5889_9978,-0.9427672028541564,,-0.9433069229125975,,,
